title,rating,description,author
Cura Vibracional Através dos Chakras ,"4,8","O corpo humano é constituído de freqüências que formam um todo harmônico e equilibrado quando a pessoa está sã. Se, no entanto, ela se expõe a pressões físicas e emocionais, as vibrações do seu corpo podem ficar fora de tom. Em Cura Vibracional Através dos Chakas, Joy Gardner oferece ao leitor a informação mais atualizada sobre a capacidade que os instrumentos vibracionais têm de ajudar o corpo a evocar sua própria ressonância harmônica. Explorando a fundo o uso da cor, dos cristais, dos óleos essenciais, da luz e do som, esta visão abrangente da cura vibracional é um guia científico, histórico e prático para as pessoas que desejam melhorar sua saúde e bem-estar ou que estejam interessadas em tornar-se profissionais dessa delicada ciência.",Edição Português  por Joy Gardner (Autor)
Energia dos Chakras - Saúde e Autotransformação ,"4,8","As energias dos chakras que trazemos no perispírito são fundamentais para o nosso equilíbrio físico e mental. Dependendo da forma como nos movimentamos frente à vida, essas energias estarão inibidas, congestionadas ou equilibradas. Para mantê-las equilibradas, todo um investimento é necessário. Para tanto, a identificação com as lições do Evangelho de Jesus é imprescindível. Nesta obra refletimos sobre três grandes exemplos de autotransformação vivenciada por cristãos da primeira hora Pedro, oapóstolo - exemplo de transformação da insegurança e da temeridade em fé convicta; Maria de Magdala - exemplo da transformação do prazer sensual em prazer de servir; e Paulo de Tarso - exemplo da transformação da onipotência e prepotência em poder com amor.",por Alírio De Cerqueira Filho (Autor)
"Energia dos Chakras e o Poder Terapêutico da Fé, da Meditação e da Oração ","4,5","Neste livro se inicia uma série sobre os chackas, aprofundando o entendimento sobre as virtudes atinentes a cada um deles, de modo a proporcionar aos estudiosos do psiquismo humano material que vise a transformação moral,tão necessária para todos nós. Aprofundaremos as nossas reflexões sobre as virtudes relacionadas ao equilíbrio do primeiro chacka - o da segurança,especialmente a fé e os instrumentos de autoconhecimento e auto transformação e meditação e a ação.",por Alírio De Cerqueira Filho (Autor)
"Reiki: Cura Física, Emocional, Mental e Espiritual ","4,1","O Reiki é uma arte milenar de harmonização e cura, utilizando a imposição das mãos, através dos chacras das palmas e mini chacras dos dedos.
O Reiki promove o bem-estar físico, emocional, mental e espiritual, amplia a consciência pessoal, promove a paz interior, reduz stress do dia a dia, melhora a autoestima e desenvolve a autoconfiança, etc.
Venha conhecer um pouco sobre essa terapia japonesa.",por Célia Félix de Sá (Autor)  Formato: eBook Kindle
Energia dos Chakras e o Poder Terapêutico da Gratidão ,"5,0","Este livro aborda um estudo dos chakras por um prisma moral, no qual o mais importante não são eles em si mesmos, mas as virtudes que geram a sua harmonia. Conhecê-las, para poder senti-las e vivenciá-las, é fundamental para o nosso equilíbrio físico, psíquico e espiritual. Nesta obra damos continuidade à série sobre os chakras, aprofundando o entendimento sobre a virtude específica equilibradora do segundo chakra, a gratidão, de modo a proporcionar aos estudiosos do psiquismo humano material que vise à transformação moral, tão necessária para todos nós. O exercício da virtude da gratidão é imprescindível para que haja equilíbrio do chakra do prazer. Aprofundaremos as nossas reflexões sobre essa virtude, para que sejamos gratos a Deus, que nos proporcionou não apenas os prazeres fisiológicos relacionados ao corpo físico, mas o prazer maior de nos sentirmos pertencentes ao Universo, prazer espiritual intenso, que estimula naturalmente a gratidão a Deus e à Vida.",Edição Inglês  por Alírio De Cerqueira Filho (Autor)
Reiki para iniciantes: Um guia prático para cura e equilíbrio energético (Cura Energética) ,"4,5","Como reduzir o estresse e encontrar um relaxamento profundo sem gastar uma fortuna em tratamentos caros, mesmo se você for totalmente iniciante.

Você está se sentindo estressado, sobrecarregado ou simplesmente desconectado de si mesmo? Anseia por uma sensação de paz interior e equilíbrio, mas não sabe por onde começar? Tem curiosidade sobre a cura energética, mas não tem certeza se ela é adequada para você?

Nesse caso, Reiki para Iniciantes é o seu guia para liberar suas habilidades naturais de cura e criar uma vida de harmonia e bem-estar.

O que é Reiki?

Reiki é uma antiga técnica de cura japonesa que está se tornando cada vez mais popular no Ocidente. É uma maneira suave, porém poderosa, de promover o relaxamento, reduzir o estresse e incentivar a cura emocional e física. E a melhor parte é que qualquer pessoa pode aprendê-la!

Aqui está apenas uma parte do que você descobrirá em Reiki para Iniciantes:

Descubra a fascinante história e as origens do Reiki, traçando suas raízes até as antigas tradições japonesas.
Explore a ciência por trás da cura energética e descubra como o Reiki pode promover o relaxamento, reduzir o estresse e apoiar o bem-estar geral.
Mergulhe profundamente nos sete chakras principais, compreendendo suas funções em seu sistema de energia e como equilibrá-los para obter uma saúde ideal.
Domine técnicas práticas de Reiki para autocura, incluindo posições das mãos, visualizações e afirmações.
Aprenda a usar o Reiki para curar outras pessoas, compartilhando esse poderoso dom com seus entes queridos e até mesmo seguindo uma carreira como praticante de Reiki.
Descubra o poder dos símbolos e mantras do Reiki para ampliar o fluxo de energia e aprimorar sua prática de cura.
Explore terapias complementares que funcionam em sinergia com o Reiki, como a cura por cristais, a aromaterapia e a terapia sonora.
Obtenha insights sobre aplicações específicas do Reiki, incluindo controle do estresse, alívio da dor, cura emocional e crescimento espiritual.
Aprenda a integrar o Reiki em sua vida diária para criar uma existência mais equilibrada, harmoniosa e gratificante.
Receba orientação sobre como encontrar um professor de Reiki qualificado e continuar sua jornada de Reiki com treinamento avançado e atestados.
Compreender as considerações éticas da prática do Reiki e como abordar a cura com integridade e compaixão.
Descubra a profunda conexão espiritual do Reiki e como ele pode aprofundar sua conexão com seu eu interior e com o universo.
Acesse recursos de bônus, incluindo um Mapa dos Chakras Primário e Secundário, o diagrama dos Cinco Símbolos do Reiki e um vídeo demonstrando a localização dos Chakras e a colocação das mãos pelo Mestre de Reiki, Alex.
Aprenda com as experiências de um verdadeiro Mestre de Reiki, que compartilha sua jornada pessoal e suas percepções por meio de 50 perguntas urgentes sobre o poder transformador do Reiki.
E muito mais!

Você pode estar pensando:

“Não tenho certeza se sou 'espiritual' o suficiente para o Reiki.” O Reiki é para todos, independentemente de suas crenças espirituais. É uma técnica simples e prática que qualquer pessoa pode aprender e se beneficiar.

“Estou preocupado que o Reiki seja muito complicado.” Este livro divide o Reiki em conceitos e técnicas fáceis de entender, tornando-o acessível até mesmo para iniciantes completos.

Imagine ter o poder de curar a si mesmo, reduzir o estresse e encontrar mais equilíbrio e alegria em sua vida!

Não espere nem mais um dia para experimentar os profundos benefícios do Reiki. Adquira seu exemplar de Reiki para Iniciantes e comece sua jornada de cura hoje mesmo!
Leia mais",por Callie Parker (Autor)
O Caibalion ,"4,7","O Caibalion, que desde sua primeira publicação, em dezembro de 1908, é referência nos círculos esotéricos, é um tratado que encerra os mais significativos princípios do antigo Hermetismo. Ao descrever detalhadamente esses princípios, O Caibalion trata da transmutação mental (também chamada de “alquimia mental”, “arte da química mental” ou “arte da polarização”), isto é, uma arte de mudar e transformar os próprios estados e condições mentais, com o objetivo de melhorá-los. Esta é o verdadeiro sentido da alegoria da pedra filosofal, revelada nas páginas desta nova tradução deste livro fundamental.","por Claudio Blanc (Autor), Camelot Editora (Compilador)"
365 Dias de Sabedoria Estoica - Um Devocional para a Vida Diária ,,"Imagine começar cada dia com uma reflexão que ilumina, inspira e fortalece sua mente e seu coração.

“365 Dias de Sabedoria Estoica” é um guia diário transformador que muda a maneira de encarar o mundo, promovendo uma vida mais leve, consciente e próspera.

Inspirado nos princípios milenares do estoicismo, este devocional reúne os ensinamentos atemporais de mestres como Sêneca, Epicteto e Marco Aurélio, adaptados para os desafios da vida moderna.

Em cada página, você encontrará palavras de serenidade e coragem para enfrentar obstáculos, desenvolver autocontrole e cultivar uma paz interior capaz de resistir às adversidades.

Com reflexões diárias e orientações práticas, este livro é um companheiro essencial para quem deseja:

Viver com propósito,
Superar o caos,
Redescobrir o prazer nas coisas simples da vida.

Seja você um iniciante ou um conhecedor do estoicismo, embarque nesta jornada e descubra o poder de uma mente em harmonia.

Um ano inteiro de sabedoria estoica o aguarda.

Leia mais",por Camelot Editora (Editor)
Como Trabalhar com os Chakras: A Dimensão que Falta ao Bem-estar ,,"Os chakras desempenham papel fundamental no funcionamento do corpo, da mente e das emoções. Você começará a ter uma vida melhor quando abastecer a aura com a luz espiritual e ativar os chakras para melhorar a aparência, a sensação de bem-estar e a energia.

""Como Trabalhar com os chakras"" explica o funcionamento destes enquanto transformadores de energia espiritual. É possível usá-los conscientemente para emitir energias de alta frequência para curar a si mesmo e para abençoar os que estão ao seu redor.

Aprenda a energizar poderosamente a aura e os chakras. Quando estes estiverem vibrando frequências muito elevadas, medite sobre as belas visualizações dos chakras. Utilize o pleno poder da ciência da Palavra falada para acelerar sua senda espiritual.

Aprenda a levar uma vida plena!",por Elizabeth Clare Prophet (Autor)  Formato: eBook Kindle
Reiki: Cura Energética para Iniciantes: Desperte o poder da energia vital universal e transforme sua vida ,,"Descubra o poder de cura do Reiki com este guia abrangente e fácil de entender! Aprenda os princípios básicos, desde a história e filosofia até as técnicas de autocura e tratamento de outros. Desbloqueie seu potencial de cura e promova equilíbrio físico, mental e emocional. Seja seu próprio curador!
",por OSIEL PINTO (Autor)  Formato: eBook Kindle
